title,genre,platform,developer,publisher,fn_userscore_type,fn_userscore,fn_metascore_type,fn_metascore
Lady in a Leotard With a Gun,"Action, General",PlayStation 4,The Voices Games,The Voices Games,Mixed or average reviews,6.4,No score yet,nan
Dungeon Encounters,"Role-Playing, Japanese-Style",PlayStation 4,Square Enix,Square Enix,Mixed or average reviews,6.3,Generally favorable reviews,82
Hot Wheels Unleashed,"Racing, Arcade, Automobile",PlayStation 4,Milestone S.r.l,Koch Media,Mixed or average reviews,6.5,Mixed or average reviews,74
ActRaiser Renaissance,"Action Adventure, General",PlayStation 4,Square Enix,Square Enix,Mixed or average reviews,6.8,Mixed or average reviews,69
Crysis Remastered Trilogy,"Miscellaneous, Compilation",PlayStation 4,Crytek,Crytek,Mixed or average reviews,6.5,Mixed or average reviews,74
Blue Reflection: Second Light,"Role-Playing, Japanese-Style",PlayStation 4,Gust,Koei Tecmo Games,Mixed or average reviews,6.7,Generally favorable reviews,77
Demon Slayer: Kimetsu no Yaiba - The Hinokami Chronicles,"Action, Fighting, 3D",PlayStation 4,CyberConnect2,Sega,Mixed or average reviews,6.7,Mixed or average reviews,70
Castlevania Advance Collection,"Miscellaneous, Compilation",PlayStation 4,Konami,Konami,Mixed or average reviews,6.8,Generally favorable reviews,84
Nickelodeon All-Star Brawl,"Miscellaneous, Party / Minigame, Action, Fighting, 2D",PlayStation 4,Ludosity Interactive,GameMill Entertainment,Mixed or average reviews,6.8,No score yet,nan
Chernobylite,"Action Adventure, Survival",PlayStation 4,The Farm 51,The Farm 51,Mixed or average reviews,6.8,Mixed or average reviews,60
Crysis 2 Remastered,"Action, Shooter, First-Person, Arcade",PlayStation 4,Crytek,Crytek,Mixed or average reviews,6.5,No score yet,nan
Grand Theft Auto: The Trilogy - The Definitive Edition,"Miscellaneous, Compilation",PlayStation 4,Rockstar Games,Rockstar Games,Overwhelming dislike,0.8,No score yet,nan
FIFA 22,"Sports, Team, Soccer, Sim",Stadia,EA Canada,Electronic Arts,Overwhelming dislike,1.9,No score yet,nan
